etak_id,pv_area_m2,source,address,annual_kwh,year
719155,195.82,540121820,Tiigi 19,29183.68,2021
719155,195.82,540121820,Tiigi 19,33144.350000000006,2022
716647,182.69,547236018,Tähe 2,27484.600000000006,2021
716647,182.69,547236018,Tähe 2,30381.910000000003,2022
720043,146.65,547236054,Aleksandri 3,23177.160000000003,2022
715116,147.85,547236058,Turu 9,20513.14,2021
715116,147.85,547236058,Turu 9,23752.369999999995,2022
713413,165.44,547236060,Turu 3,22272.690000000002,2021
713413,165.44,547236060,Turu 3,24780.800000000003,2022
720467,139.91,547236062,Pepleri 3,19879.620000000003,2022
720239,171.77,547236066,Pepleri 12,24258.589999999997,2021
720239,171.77,547236066,Pepleri 12,26761.899999999994,2022
720448,193.61,547236068,J.Kuperjanovi 2,25935.300000000003,2021
720448,193.61,547236068,J.Kuperjanovi 2,28969.59999999999,2022
719935,187.23,547236070,Lutsu 16,18442.740000000005,2021
719935,187.23,547236070,Lutsu 16,20213.319999999992,2022
720853,161.09,547236072,Tiigi 21,20368.01,2021
720853,161.09,547236072,Tiigi 21,23333.760000000002,2022
720593,162.0,547236074,Tiigi 23,22025.170000000002,2021
720593,162.0,547236074,Tiigi 23,25769.899999999994,2022
721107,260.11,547236078,Aleksandri 12,45680.020000000004,2022
720592,168.47,547236080,Kalevi 8,16460.520000000004,2021
720592,168.47,547236080,Kalevi 8,18474.319999999996,2022
