etak_id,source,address,year,pv_area_m2,Jan_kwh,Feb_kwh,Mar_kwh,Apr_kwh,May_kwh,Jun_kwh,Jul_kwh,Aug_kwh,Sep_kwh,Oct_kwh,Nov_kwh,Dec_kwh,Jan_kwh/pv_m2,Feb_kwh/pv_m2,Mar_kwh/pv_m2,Apr_kwh/pv_m2,May_kwh/pv_m2,Jun_kwh/pv_m2,Jul_kwh/pv_m2,Aug_kwh/pv_m2,Sep_kwh/pv_m2,Oct_kwh/pv_m2,Nov_kwh/pv_m2,Dec_kwh/pv_m2
713413,547236060,Turu 3,2020,165.44,,,,,,,,,,,317.8199999999997,109.29999999999563,,,,,,,,,,,1.9210589941972904,0.6606624758220239
713413,547236060,Turu 3,2021,165.44,14.87000000000262,109.38999999999942,1360.8199999999997,2896.4400000000023,3353.909999999996,4817.43,4452.619999999995,2565.600000000006,,1091.4199999999985,325.45999999999185,17.270000000004075,0.0898815280464375,0.6612064796905187,8.225459381044486,17.507495164410074,20.272666827852976,29.11889506769826,26.913805609284307,15.507736943907192,,6.597074468085097,1.9672388781430843,0.10438829787236506
713413,547236060,Turu 3,2022,165.44,99.39999999999418,546.7100000000064,2507.699999999997,3373.029999999999,3937.529999999999,4439.180000000008,4102.699999999997,2701.75,1987.0800000000015,913.9199999999984,171.80999999999767,,0.6008220502901003,3.304581721470058,15.157761121856849,20.388237427466144,23.800350580270788,26.832567698259233,24.79871856866536,16.33069390715667,12.010880077369448,5.524177949709855,1.0385033849129452,
715116,547236058,Turu 9,2020,147.85,,,,,,,,,,,292.2900000000009,88.22999999999593,,,,,,,,,,,1.976936083868792,0.5967534663510039
715116,547236058,Turu 9,2021,147.85,20.220000000001164,,1247.4400000000023,2653.2599999999948,3102.9100000000035,4420.290000000001,4074.0,2390.540000000001,,1006.540000000008,291.95999999999185,22.580000000001743,0.136760229962808,,8.43719986472778,17.94562056137974,20.986878593168775,29.897125464998314,27.554954345620562,16.168684477510997,,6.807845789651728,1.974704091985065,0.1527223537369073
715116,547236058,Turu 9,2022,147.85,92.58999999999652,521.5100000000093,2279.2599999999948,3069.7899999999936,3594.220000000001,4092.260000000009,3817.429999999993,3344.970000000001,1908.8800000000049,868.2399999999907,163.23000000001048,,0.6262428136624723,3.527291173486705,15.416029759891748,20.762867771389878,24.30990869124113,27.6784578965168,25.81961447412914,22.624078457896527,12.910923233006459,5.872438282042548,1.1040243490024382,
716647,547236018,Tähe 2,2020,182.69,,,,,,,,,,,371.4000000000015,106.79999999999563,,,,,,,,,,,2.0329519951831054,0.5845968580655517
716647,547236018,Tähe 2,2021,182.69,61.900000000001455,179.3000000000029,1714.5,3438.010000000002,3919.0,5620.0899999999965,5256.399999999994,2996.600000000006,,1586.0,393.0,,0.33882533253052416,0.9814439761344513,9.384750123159451,18.818818764026503,21.451639389129127,30.762986479829202,28.772237122995207,16.402649296622727,,8.68137281734085,2.151185067600854,
716647,547236018,Tähe 2,2022,182.69,116.30000000000292,716.0999999999913,3052.300000000003,4039.899999999994,4654.600000000006,5216.199999999997,4781.410000000004,4251.5,2482.699999999997,1131.699999999997,,,0.6365975149159939,3.9197547758497526,16.707537358366647,22.11341616946737,25.4781323553561,28.55219223821773,26.172259018008674,23.271662378893208,13.589687448683547,6.194646669221069,,
716801,547236076,Tiigi 8,2020,257.01,,,,,,,,,,,521.6999999999971,168.70000000000437,,,,,,,,,,,2.029882105754629,0.6563946928135262
716801,547236076,Tiigi 8,2021,257.01,54.400000000001455,282.5099999999948,2516.790000000001,4976.310000000005,5704.889999999999,8026.610000000001,7693.989999999991,4256.700000000012,,,,,0.21166491576203827,1.0992179292634328,9.792576164351585,19.362320532275028,22.19715186179526,31.230730321777365,29.936539434263224,16.562390568460415,,,,
716801,547236076,Tiigi 8,2022,257.01,,,,,,,,6135.299999999988,3507.100000000006,1510.0,298.60999999998603,,,,,,,,,23.871833780786694,13.645772538033563,5.875257772071126,1.1618614061709118,
719155,540121820,Tiigi 19,2021,195.82,,,1655.5600000000013,3691.7100000000023,4160.199999999997,5914.389999999999,5766.830000000002,3188.029999999999,,1781.0699999999997,458.8000000000029,,,,8.454499029721179,18.852568685527537,21.245020937595736,30.20319681340006,29.44964763558371,16.280410581145944,,9.095444796241445,2.342968031866014,
719155,540121820,Tiigi 19,2022,195.82,103.11000000000058,710.7300000000032,3387.1299999999974,4397.059999999998,5051.389999999999,5486.62000000001,5104.899999999994,4659.529999999999,2775.449999999997,1231.979999999996,236.4600000000064,,0.5265549994893299,3.6295066898171955,17.297160657746897,22.454601164334584,25.79608824430599,28.018690634256,26.069349402512483,23.794964763558365,14.173475640894685,6.291390052088632,1.2075375344704649,
719414,547236056,Pepleri 10,2022,169.67,,,,,,,,3427.7100000000064,1985.2899999999936,887.5100000000093,,,,,,,,,,20.202216066482034,11.700889962869063,5.230800966582244,,
719935,547236070,Lutsu 16,2020,187.23,,,,,,,,,,,202.93999999999505,55.81999999999971,,,,,,,,,,,1.0839074934572188,0.2981359824814384
719935,547236070,Lutsu 16,2021,187.23,8.0,,1054.8600000000006,2295.290000000001,2764.6699999999983,4095.409999999996,3855.390000000007,2061.119999999996,,710.4199999999983,192.2200000000012,,0.042728195267852376,,5.634033007530848,12.259199914543615,14.76616995139667,21.87368477273939,20.59173209421571,11.008492228809464,,3.7943705602734514,1.0266517117983294,
719935,547236070,Lutsu 16,2022,187.23,,,1835.1299999999972,2642.989999999998,3314.260000000002,3736.739999999998,3426.220000000001,2854.5599999999977,1639.1900000000023,648.1900000000023,116.0399999999936,,,,9.801474122736726,14.116274101372634,17.701543556054062,19.958019548149327,18.299524648827653,15.246274635475073,8.75495380013888,3.4619986113336663,0.6197724723601645,
720043,547236054,Aleksandri 3,2021,146.65,,,,,,,,,,1068.8500000000058,313.84999999999854,12.599999999998545,,,,,,,,,,7.288441868394175,2.1401295601772827,0.08591885441526453
720043,547236054,Aleksandri 3,2022,146.65,69.77999999999884,442.3199999999997,2354.6299999999974,2994.6300000000047,3501.2599999999948,3989.7300000000105,3671.6199999999953,3199.369999999996,1893.300000000003,895.1600000000035,165.36999999999534,,0.47582679849982157,3.016160927378109,16.056120013637894,20.420252301397916,23.87494033412884,27.20579611319475,25.036617797476953,21.81636549607907,12.910330719399951,6.104057279236301,1.1276508694169474,
720239,547236066,Pepleri 12,2020,171.77,,,,,,,,,,,328.9099999999962,95.60000000000582,,,,,,,,,,,1.9148279676311126,0.5565581882750528
720239,547236066,Pepleri 12,2021,171.77,2.4899999999979627,,1410.0,3001.189999999995,3570.510000000002,5082.500000000007,4724.989999999991,2717.5,,1318.0899999999965,301.8999999999942,,0.014496128543971372,,8.20865110321942,17.472142981894365,20.786575071316307,29.588985271001963,27.50765558595791,15.820574023403386,,7.673575129533658,1.7575828142282945,
720239,547236066,Pepleri 12,2022,171.77,78.39999999999418,,2525.5,3538.399999999994,4158.610000000001,4725.0,4358.699999999997,3770.39,2153.800000000003,971.8000000000028,,,0.45642428829245024,,14.702800256156488,20.599639052220958,24.210339407347035,27.507713803341677,25.375211038015934,21.950224136927286,12.53886010362696,5.657565349013232,,
720448,547236068,J.Kuperjanovi 2,2020,193.61,,,,,,,,,,,410.6999999999971,145.8000000000029,,,,,,,,,,,2.1212747275450496,0.7530602758122148
720448,547236068,J.Kuperjanovi 2,2021,193.61,21.709999999999127,121.88999999999942,1721.3099999999977,3251.6900000000023,3625.909999999996,5091.800000000003,4871.889999999999,2802.0,,1716.6900000000023,409.59999999999127,,0.11213263777696982,0.6295645886059574,8.890604824130973,16.795051908475813,18.72790661639376,26.29926140178711,25.163421310882697,14.472392954909353,,8.86674242032954,2.115593202830387,
720448,547236068,J.Kuperjanovi 2,2022,193.61,72.39999999999418,550.6000000000058,3144.909999999989,3891.290000000008,4366.0,4707.599999999991,4365.600000000006,4015.5099999999943,2472.800000000003,1169.6000000000058,213.2899999999936,,0.3739476266721459,2.8438613707969926,16.243530809358962,20.098600278911253,22.55048809462321,24.314859769639952,22.5484220856361,20.740199369867227,12.772067558493893,6.041010278394741,1.1016476421672103,
720467,547236062,Pepleri 3,2021,139.91,,,,,,,,,,708.0800000000017,197.38999999999945,17.299999999995634,,,,,,,,,,5.060967764991793,1.4108355371310088,0.12365091844754224
720467,547236062,Pepleri 3,2022,139.91,51.03000000000611,393.3099999999977,1741.8699999999951,2607.6400000000067,3190.8399999999965,3618.93,3298.6600000000035,2754.619999999996,1477.6699999999985,622.6800000000076,122.3799999999901,,0.3647344721607184,2.811164319919932,12.449932099206599,18.63798155957406,22.806375527124555,25.866128225287685,23.577013794582257,19.68851404474302,10.561575298406108,4.450575369880692,0.8747051676076771,
720592,547236080,Kalevi 8,2020,168.47,,,,,,,,,,,203.67000000000007,59.659999999999854,,,,,,,,,,,1.2089392770226157,0.3541283314536704
720592,547236080,Kalevi 8,2021,168.47,4.690000000000509,,990.4700000000012,2241.199999999999,2560.900000000001,3578.9199999999983,3317.25,1856.369999999999,,712.1100000000006,208.76000000000204,6.5,0.027838784353300346,,5.879206980471308,13.303258740428557,15.200925980886812,21.243663560277785,19.6904493381611,11.018994479729322,,4.226924675016327,1.2391523713420909,0.03858253695019885
720592,547236080,Kalevi 8,2022,168.47,45.169999999998254,318.9399999999987,1745.4000000000017,2578.279999999999,2993.0800000000017,3250.709999999999,2946.3300000000017,2486.1100000000006,1381.9599999999991,608.0699999999997,120.2699999999968,,0.26811895292929455,1.8931560515225185,10.360301537365713,15.304089748916715,17.76624918383096,19.295482875289363,17.4887517065353,14.756989374962904,8.203003502107196,3.6093666528165236,0.713895649076968,
720593,547236074,Tiigi 23,2021,162.0,,,1379.7599999999984,2849.1399999999994,3346.5999999999985,4754.720000000001,4403.540000000001,2549.8499999999985,,1125.4000000000017,305.2299999999959,29.92000000000553,,,8.517037037037028,17.58728395061728,20.658024691358015,29.35012345679013,27.18234567901235,15.739814814814807,,6.946913580246924,1.8841358024691106,0.1846913580247255
720593,547236074,Tiigi 23,2022,162.0,90.40999999999622,524.8799999999974,2605.8800000000047,3369.959999999999,3926.75,4383.6500000000015,4024.0399999999936,3563.740000000005,2125.6100000000006,975.209999999992,179.7800000000134,,0.5580864197530631,3.239999999999984,16.085679012345707,20.802222222222216,24.239197530864196,27.059567901234576,24.839753086419712,21.998395061728424,13.121049382716054,6.019814814814765,1.1097530864198357,
720853,547236072,Tiigi 21,2020,161.09,,,,,,,,,,,308.1899999999987,103.56000000000132,,,,,,,,,,,1.9131541374386907,0.6428704450928134
720853,547236072,Tiigi 21,2021,161.09,8.630000000001019,,1253.7400000000016,2665.5200000000004,3117.8099999999977,4384.09,4053.980000000003,2331.8099999999977,,974.7999999999956,287.24000000000524,,0.05357253709107343,,7.782854305046878,16.54677509466758,19.35446023961759,27.21515922776088,25.165932087652884,14.475200198646704,,6.0512756843999975,1.7831026134459322,
720853,547236072,Tiigi 21,2022,161.09,100.88999999999942,445.81000000000495,2210.6399999999994,3069.119999999996,3649.010000000002,4060.090000000004,3704.519999999997,3200.1100000000006,1860.32,858.8800000000047,174.36999999999534,,0.6262958594574425,2.76745918430694,13.72301198088025,19.052206840896368,22.65199577875723,25.203861195604965,22.996585759513295,19.86535477062512,11.548327022161525,5.3316779440064845,1.0824383884784614,
721107,547236078,Aleksandri 12,2021,260.11,,,,,5816.810000000001,8312.349999999999,7902.080000000002,4653.099999999999,,2443.470000000001,641.9499999999971,,,,,,22.362884933297455,31.957056629887347,30.379762408211917,17.888970051132212,,9.39398715927877,2.467994310099562,
721107,547236078,Aleksandri 12,2022,260.11,171.62999999999738,1024.2300000000032,4690.899999999994,5907.080000000002,6581.350000000006,7590.429999999993,7237.090000000011,6509.699999999997,3820.6100000000006,1802.5,344.5,,0.6598362231363553,3.93768021221792,18.03429318365305,22.7099304140556,25.302179846987833,29.18161547037789,27.823190188766333,25.026719464841786,14.688439506362695,6.929760485948252,1.3244396601437853,
